"","game_year","player_name","arm_angle","arm_slot","throws","pitch_name","avg_pitch_velo","avg_release_spin","height"
"11767",2019,"Brad Peacock",63.26,"Three-Quarters","R","2-Seam Fastball",91.77,2229.07,6.08
"11768",2019,"Yonny Chirinos",4.78,"Overhand","R","Split-Finger",85.86,1290.98,6.17
"11769",2019,"Yonny Chirinos",5.14,"Overhand","R","Sinker",93.86,2280.89,6.17
"11770",2019,"Adrian Houser",29.11,"Overhand","R","4-Seam Fastball",94.48,2193.61,6.25
"11771",2019,"Chris Bassitt",47.53,"Three-Quarters","R","Sinker",93.15,2145.89,6.42
"11772",2019,"Yonny Chirinos",0.47,"Overhand","R","Slider",87.56,2335.82,6.17
"11773",2019,"Chris Bassitt",49.45,"Three-Quarters","R","4-Seam Fastball",93.91,2219.96,6.42
"11774",2019,"Brad Peacock",63.14,"Three-Quarters","R","Slider",81.01,2746.1,6.08
"11775",2019,"Chris Bassitt",53.36,"Three-Quarters","R","Cutter",88.31,2249.57,6.42
"11776",2019,"Adrian Houser",28.58,"Overhand","R","Curveball",80.57,2007.83,6.25
"11777",2019,"Steven Matz",60.81,"Three-Quarters","L","Changeup",84.26,2302.52,6.17
"11778",2019,"Matt Harvey",35.77,"Three-Quarters","R","Changeup",85.7,1768.03,6.33
"11779",2019,"Matt Harvey",32.74,"Three-Quarters","R","4-Seam Fastball",93.23,2172.5,6.33
"11780",2019,"Brad Peacock",50.2,"Three-Quarters","R","Knuckle Curve",78.58,2595.49,6.08
"11781",2019,"David Hess",59.26,"Three-Quarters","R","Changeup",85.4,1598.11,6.08
"11782",2019,"David Hess",54.4,"Three-Quarters","R","4-Seam Fastball",92.94,2185.55,6.08
"11783",2019,"Matt Harvey",35.38,"Three-Quarters","R","Slider",87.26,2412.99,6.33
"11784",2019,"Brad Peacock",62.88,"Three-Quarters","R","Changeup",83.38,1980.24,6.08
"11785",2019,"Chris Bassitt",46.23,"Three-Quarters","R","Changeup",85.01,2056.53,6.42
"11786",2019,"Matt Harvey",35.49,"Three-Quarters","R","Curveball",81.4,2512.76,6.33
"11787",2019,"David Hess",53.97,"Three-Quarters","R","2-Seam Fastball",92.44,2035.58,6.08
"11788",2019,"Tyler Anderson",51.41,"Three-Quarters","L","Cutter",87.03,2546.66,6.17
"11789",2019,"Tyler Anderson",41.27,"Three-Quarters","L","4-Seam Fastball",91.23,2337.03,6.17
"11790",2019,"Tyler Anderson",38.91,"Three-Quarters","L","Changeup",79.95,2047.13,6.17
"11791",2019,"David Hess",53.5,"Three-Quarters","R","Curveball",77.16,2360.03,6.08
"11792",2019,"David Hess",56.55,"Three-Quarters","R","Slider",83.58,2322.04,6.08
"11793",2019,"Jack Flaherty",70.36,"Side Arm","R","Changeup",86.17,1699.36,6.33
"11794",2019,"Adrian Houser",34.58,"Three-Quarters","R","Changeup",85.37,1553.22,6.25
"11795",2019,"Manny Banuelos",61.34,"Three-Quarters","L","Slider",85.36,2265.78,5.83
"11796",2019,"Brad Peacock",62.35,"Three-Quarters","R","4-Seam Fastball",92.52,2294.36,6.08
"11797",2019,"Manny Banuelos",54.85,"Three-Quarters","L","4-Seam Fastball",91.97,2132.93,5.83
"11798",2019,"Manny Banuelos",57.32,"Three-Quarters","L","Changeup",82.58,1658.91,5.83
"11799",2019,"Manny Banuelos",58.76,"Three-Quarters","L","Sinker",91.41,1900.12,5.83
"11800",2019,"Manny Banuelos",54.67,"Three-Quarters","L","Curveball",78.79,2602.42,5.83
"11801",2019,"Jose Alvarado",18.1,"Overhand","L","Sinker",98.13,2178.93,6
"11802",2019,"Jose Alvarado",14.65,"Overhand","L","Curveball",86.69,2521,6
"11803",2019,"Jake Diekman",77.93,"Side Arm","L","Sinker",95.48,2096.03,6.33
"11804",2019,"Josh Tomlin",54.02,"Three-Quarters","R","Changeup",84.77,1743.24,6.08
